18	26	4
85	25	2
43	26	5
87	67	4
94	34	1
95	2	2
60	13	4
28	89	4
95	48	4
96	1	5
1	92	3
73	7	4
60	60	5
80	87	4
95	83	5
87	97	5
13	29	2
64	52	3
95	88	4
87	82	5
62	33	1
16	22	5
41	69	4
22	80	4
45	1	5
90	31	4
1	36	2
2	13	4
1	44	5
94	100	5
58	42	4
65	56	3
49	38	1
83	63	4
44	88	2
56	38	2
94	28	4
85	89	4
94	23	5
7	8	5
6	86	3
13	66	3
1	82	5
85	70	4
42	79	5
73	100	4
24	100	5
60	28	5
56	98	4
72	54	3
59	14	5
49	49	2
16	27	2
63	20	3
42	88	5
58	50	4
97	7	5
6	59	5
96	79	4
75	100	5
32	100	3
1	80	4
87	70	5
79	6	4
60	64	4
42	72	3
58	32	5
1	62	3
56	71	4
25	50	5
11	38	3
92	62	3
16	92	4
96	91	5
16	56	5
64	38	3
59	25	4
41	1	4
16	64	5
42	12	4
60	71	3
7	90	3
77	89	5
59	70	3
16	28	5
72	38	3
82	70	4
18	71	4
70	96	4
13	45	3
46	7	4
84	7	4
73	12	5
8	89	4
12	97	5
42	63	4
1	56	4
6	81	4
6	98	5
96	23	5
45	100	5
90	25	5
59	54	4
9	6	5
60	98	4
26	13	3
94	33	3
11	12	2
77	50	4
92	77	3
58	89	3
14	100	5
43	5	4
92	85	3
7	32	4
63	6	3
94	50	5
49	53	4
42	77	5
20	69	1
17	1	4
66	21	1
59	7	4
82	69	4
64	4	3
59	10	4
96	87	4
73	81	5
74	15	4
97	28	5
64	58	3
76	92	4
10	100	5
38	67	4
18	97	4
7	79	4
94	1	4
58	13	3
38	1	5
43	11	5
60	47	4
85	58	4
1	17	3
65	100	3
10	56	5
13	72	4
87	39	3
85	45	3
95	64	5
94	89	3
20	87	5
41	31	3
72	87	4
29	98	4
94	8	5
13	73	3
92	31	4
87	7	4
92	2	3
56	25	4
6	100	5
92	24	3
15	18	1
1	65	4
16	70	4
96	100	5
38	99	5
43	91	3
37	24	4
62	89	5
98	70	3
92	48	4
58	100	5
13	88	4
56	1	4
42	96	5
13	27	3
96	50	5
7	44	5
92	94	3
25	25	5
87	79	5
6	19	4
95	1	5
94	76	4
43	49	4
64	93	2
1	24	3
43	54	3
95	79	4
7	28	5
62	8	5
72	68	3
28	50	4
95	26	3
23	1	5
1	70	3
72	82	3
56	70	4
59	50	5
5	69	1
14	93	3
57	79	5
77	100	3
28	100	5
58	8	4
70	48	4
5	90	3
62	28	3
49	3	3
56	68	3
42	95	5
72	100	5
15	20	3
94	64	5
73	28	3
81	93	3
15	1	1
14	18	3
5	2	3
64	56	5
42	70	3
18	57	4
14	14	3
76	64	5
1	78	1
26	25	3
85	98	4
12	96	4
92	67	3
95	7	5
1	85	3
13	97	4
64	100	4
64	17	3
94	70	4
92	89	5
38	82	5
22	79	4
91	64	4
90	22	4
60	88	4
65	97	5
60	56	4
45	21	3
10	16	4
85	97	2
50	9	4
14	13	4
58	20	1
76	100	5
82	15	3
84	12	5
91	97	5
59	100	5
66	7	3
7	54	3
8	79	4
56	44	4
92	88	3
16	7	5
91	99	2
45	25	4
1	74	1
62	100	4
7	22	5
1	49	3
80	58	4
65	47	2
72	96	5
56	77	3
44	56	2
44	11	3
87	64	5
99	79	4
18	82	3
49	56	5
18	13	5
89	93	2
1	97	3
59	23	5
83	22	5
56	63	3
70	50	4
12	71	4
70	82	4
18	14	5
15	9	4
95	90	2
87	9	4
18	99	5
99	4	5
85	86	4
96	64	5
6	23	4
1	72	4
79	7	5
94	9	5
1	47	4
91	28	4
81	98	5
90	98	5
90	6	4
43	71	4
94	92	4
1	33	4
48	50	4
99	11	5
49	39	2
1	53	3
5	89	5
10	98	4
14	56	5
83	35	1
44	21	2
72	12	5
11	40	3
10	64	4
18	89	3
57	7	4
94	68	4
95	33	3
11	9	5
80	50	3
12	28	5
94	62	3
13	24	1
72	48	4
83	94	4
92	79	4
1	14	5
1	23	4
1	10	3
28	70	4
74	100	4
57	56	3
59	47	5
56	29	3
95	14	5
25	8	4
1	69	3
92	93	4
67	7	5
87	90	2
5	62	4
95	3	1
92	53	3
64	12	5
20	95	3
62	86	2
18	19	3
49	7	4
60	21	3
73	48	2
69	100	5
37	11	4
16	69	5
11	51	4
18	12	5
13	61	4
90	9	4
83	1	4
87	25	4
60	61	4
7	93	5
11	47	4
82	64	5
64	72	4
42	28	5
72	70	4
56	7	5
14	98	3
92	42	4
53	100	5
